vendor_id,pickup_date,day_num,day_name,avg_distance,avg_fare,avg_tip,sum_duration_minutes,avg_duration_minutes,avg_speed_kmh,sum_passenger,avg_passenger,total_trip,total_revenue,min_transaction,max_transaction,std_transaction,is_weekend
2,2016-04-02,6,Saturday,4.22,11.63,1.51,292311.27,12.75,19.2,46237.0,2.02,22926,327733.62,3.3,70.34,9.39,1
1,2016-04-03,7,Sunday,4.44,11.62,1.54,206686.33,11.87,20.91,23537.0,1.35,17416,250475.48,3.3,70.34,10.26,1
2,2016-04-03,7,Sunday,4.71,11.99,1.59,240837.8,12.13,21.73,40412.0,2.04,19851,294228.61,3.8,70.34,10.83,1
2,2016-04-06,3,Wednesday,4.23,12.07,1.76,282320.75,13.84,17.65,41013.0,2.01,20394,310563.43,3.8,71.21,10.25,0
1,2016-04-06,3,Wednesday,4.04,11.84,1.73,242994.08,13.64,17.07,21418.0,1.2,17809,266090.99,3.3,70.01,9.84,0
2,2016-04-08,5,Friday,4.23,11.99,1.69,305757.02,13.75,17.63,44515.0,2.0,22237,335490.58,3.8,70.01,10.22,0
1,2016-04-08,5,Friday,4.1,11.89,1.69,269847.68,13.7,17.12,24459.0,1.24,19703,294750.26,3.3,70.34,10.0,0
2,2016-04-09,6,Saturday,4.11,11.35,1.49,292392.53,12.43,19.0,47956.0,2.04,23529,328347.11,3.8,70.34,9.13,1
1,2016-04-09,6,Saturday,4.01,11.26,1.47,252371.62,12.35,18.64,27960.0,1.37,20442,283703.12,3.33,70.55,8.97,1
2,2016-04-15,5,Friday,4.28,12.25,1.74,314276.13,14.2,17.41,44656.0,2.02,22126,340939.47,3.8,71.21,10.43,0
1,2016-04-15,5,Friday,4.14,12.12,1.68,274080.55,14.14,16.9,24309.0,1.25,19378,294271.84,3.3,70.34,10.01,0
2,2016-04-18,1,Monday,4.5,12.15,1.73,237845.12,13.29,19.16,35536.0,1.99,17902,274651.59,3.8,70.01,10.81,0
1,2016-04-18,1,Monday,4.36,12.01,1.68,209927.4,13.21,18.62,19296.0,1.21,15893,240028.92,3.8,70.34,10.49,0
2,2016-04-20,3,Wednesday,4.26,12.29,1.8,289620.97,14.34,17.28,40660.0,2.01,20192,312985.88,3.8,70.34,10.27,0
1,2016-04-20,3,Wednesday,4.07,12.06,1.73,248596.17,14.08,16.81,21147.0,1.2,17651,267725.94,3.3,71.79,10.0,0
1,2016-04-26,2,Tuesday,4.09,11.64,1.67,214369.83,12.95,17.95,19853.0,1.2,16557,243229.19,3.3,70.34,9.79,0
2,2016-04-26,2,Tuesday,4.27,11.85,1.71,251233.03,13.07,18.62,38566.0,2.01,19225,288157.98,3.3,70.61,10.25,0
2,2016-04-28,4,Thursday,4.3,12.11,1.76,278431.98,13.67,18.05,40531.0,1.99,20366,311237.92,3.3,70.01,10.33,0
1,2016-04-28,4,Thursday,4.19,12.06,1.74,246743.98,13.7,17.48,21884.0,1.21,18013,273868.78,3.8,71.79,10.14,0
1,2016-05-01,7,Sunday,4.6,11.77,1.55,194530.1,11.9,21.15,21937.0,1.34,16353,237948.93,3.8,70.34,10.62,1
2,2016-05-01,7,Sunday,4.66,11.76,1.55,236018.78,11.84,21.71,40183.0,2.02,19931,289669.22,3.3,70.34,10.74,1
2,2016-05-02,1,Monday,4.56,12.24,1.72,240147.92,13.25,19.3,36349.0,2.01,18118,279182.11,3.8,70.01,11.0,0
